milliseconds,Susceptible,Exposed,Infected,Recovered,Deceased,Total_population
0,9980543.516954953,20239.773249851783,186.84902637403957,-121.05963205195692,5.073931420632168,10000000.0
100,9980386.52863091,19286.436091411975,450.4501342256899,-35.88449056773293,4.20173770616074,10000000.0
200,9980673.68945492,19076.567260231608,899.7636162471529,-93.66790598335658,-3.263527667956103,10000000.0
300,9979347.960149558,18053.323873716035,1777.809268488676,-71.1244427900968,-1.2998616091878676,10000000.0
400,9980073.208010131,17596.32633826042,2776.6934630381334,40.864312704334196,3.3510620125012593,10000000.0
500,9978692.324254798,17536.26116288196,2984.8243694739836,-22.808252539047515,7.544976003396801,10000000.0
600,9979396.041664684,17201.613274970066,3441.272621131871,251.42415086780605,1.0247205102364125,10000000.0
700,9978308.964402195,16819.92665756643,3736.1897573013343,248.66349295778394,14.491222029303035,10000000.0
800,9978245.209100546,16592.550882694806,4778.083348034302,161.47825818779052,13.895130834086721,10000000.0
900,9978374.180298876,16733.361333365774,5113.05156645991,231.58258826662004,10.725997317943577,10000000.0
1000,9978170.277569648,16438.660331587464,5747.210071862346,483.37823947038254,17.055309744881054,10000000.0
1100,9977511.81031541,16228.237214819208,5837.620073312333,386.1406503243244,15.303387044591185,10000000.0
1200,9977042.250219915,16635.44587941383,6189.327284453441,424.2517297409503,26.91369138812303,10000000.0
1300,9975463.363169026,16285.725546497408,7251.974089008634,518.2292360171036,29.334211068469266,10000000.0
1400,9975136.416593757,16507.528834501016,7619.7992905226765,777.3673258146202,39.00853853459436,10000000.0
1500,9975009.197463641,16718.321095135063,7648.5586580699955,860.6961235212041,38.21179583524501,10000000.0
1600,9973946.078605285,16364.325061328978,8439.452947701227,928.6473453282713,42.53404016444363,10000000.0
1700,9973606.259752069,16719.992760820525,8425.582688558176,878.7213220877019,47.520495789236946,10000000.0
1800,9972391.836601479,17241.014511181394,9094.156933779828,1045.6120953441412,48.44836606096173,10000000.0
1900,9971654.476267604,17039.474758478802,9601.786684238741,1257.8292692898165,53.378944271506896,10000000.0
2000,9970432.133663053,17507.801405800503,9762.338038838005,1389.426704519573,64.0185491091604,10000000.0
2100,9970155.463596301,17654.451053181918,10330.08216924314,1379.0174842631975,72.1287326417081,10000000.0
2200,9969467.164079672,18136.375707954816,10929.946196913063,1526.183775585226,74.81002479210254,10000000.0
2300,9968581.803887805,18429.572253145492,11839.698162124943,1838.3385760535746,78.72161663622629,10000000.0
2400,9966714.665093256,18491.97245314724,11604.496014695816,1847.353301398808,95.52440336839756,10000000.0
2500,9966298.821016183,18858.732342618656,12594.883280380556,2104.8173157415113,103.7261145243701,10000000.0
2600,9965150.06501372,19177.71165114923,13093.984046691909,2243.3958197853317,104.7036729324647,10000000.0
2700,9963472.640340865,19919.181522156032,13416.842961723758,2290.6482759153528,110.56058957106677,10000000.0
2800,9963497.015755204,20371.043540268452,14216.522513826936,2607.251920278736,118.59865278129064,10000000.0
2900,9961359.570691,21112.238585712843,14420.314387752607,2599.6646718621023,126.0954455944097,10000000.0
3000,9961305.25560136,21218.728444560573,15166.17947976293,2832.6535291284226,133.6285296486865,10000000.0
3100,9960205.843222763,21763.358125101055,15672.879105734171,3020.240171908647,152.86323523823953,10000000.0
3200,9958722.876710692,22299.540166958977,15603.66114779018,3231.828133814391,151.85939605021403,10000000.0
3300,9957580.033608273,23317.168474012684,16638.27921166491,3533.607547469822,170.52816436145758,10000000.0
3400,9955269.94929905,23422.74266856173,16808.492104984154,3799.3215971452373,177.61712152193283,10000000.0
3500,9954557.55418357,24486.22237602364,17340.162898088573,4000.1681240388193,192.02205220216135,10000000.0
3600,9952357.964806214,25017.451007718668,18366.92001488262,4186.597430674764,201.164703594234,10000000.0
3700,9950447.595337996,25548.590511485323,18586.328919943517,4253.337823147924,208.4600021544078,10000000.0
3800,9949566.80230883,26457.602193142626,19370.81623749607,4570.19378455426,216.38731177921,10000000.0
3900,9948290.089662263,26784.698110919937,20087.523748838226,4772.5832972633125,230.84893794646632,10000000.0
4000,9945398.63399839,28033.546828336595,20631.060045648625,4995.104687303209,245.47831707048874,10000000.0
4100,9944671.27751806,28895.465068261154,21055.431389773876,5243.194055762555,254.1423388122963,10000000.0
4200,9943370.756402731,29716.99146208101,22208.287692702972,5527.0122928291,275.8588263607492,10000000.0
4300,9941293.220343856,30481.07644590893,23091.345206478454,6008.354720045879,283.07521740264906,10000000.0
4400,9938666.07808577,30953.530042404196,23638.368758698634,6287.626593245909,292.6722486156104,10000000.0
4500,9936489.208876202,32138.716431437133,24031.323501451225,6443.86776954877,309.3460265846586,10000000.0
4600,9935143.206791721,33301.41178336336,24873.180978320048,6907.828576312348,324.1806110808284,10000000.0
4700,9932827.720960885,34095.276651822925,25474.602558725637,7171.140496587712,346.9247698703623,10000000.0
4800,9931238.562608678,34891.492144257005,26406.526124207812,7392.4397915994705,360.21240197575094,10000000.0
4900,9929037.21280429,36278.399533925956,27191.324864905524,7860.9423967531675,373.1877463590822,10000000.0
5000,9925265.88872179,36915.639774745876,28132.797677830935,8109.844613513832,386.55944922015726,10000000.0
