miliseconds,Susceptible,Exposed,Infected,Recovered,Total_population
0,315342321.78700894,14391227.127815481,314367.9300497599,2308.980149682431,330052960.0
100,315297805.72225475,14111455.139797222,623786.3236913132,13928.905602976,330052960.0
200,315258219.18759376,13876413.996359041,759911.7021423964,-4181.316056774037,330052960.0
300,315222687.15814316,13627185.763921373,1014806.7126810532,28748.702175750568,330052960.0
400,315225411.23536724,13397584.758540733,1448091.9889460003,8380.114522285725,330052960.0
500,315201227.05007964,13159687.463317301,1681951.0385015754,30573.47951338938,330052960.0
600,315137258.86790335,12987591.927374344,1795261.3295439433,58329.223244525914,330052960.0
700,315189922.85750216,12763599.95841428,2094605.2707416378,68116.1876234348,330052960.0
800,315143371.47670287,12616915.595336845,2278798.9057976333,50346.10773331493,330052960.0
900,315080146.1593722,12262396.817303894,2551008.4205355304,64878.21284757018,330052960.0
1000,315052195.36519474,12100499.572032046,2692022.9036767446,107695.12806266644,330052960.0
1100,315019836.59890866,11941965.729705397,3085513.931930937,83204.24483242036,330052960.0
1200,314964766.6803734,11833230.77127759,3242329.9533448056,136224.15218490697,330052960.0
1300,314927085.4300714,11631001.066494996,3449256.374487495,123045.99653679652,330052960.0
1400,314831876.1701905,11460818.976475572,3624076.3798262295,148439.6393579972,330052960.0
1500,314762636.58480567,11336847.649849826,3765827.0609554066,196828.56999973144,330052960.0
1600,314765075.90224516,11132373.959057907,4088932.3858849597,216142.66499646814,330052960.0
1700,314694131.1303834,10938495.579588609,4233250.331448865,234543.40246366378,330052960.0
1800,314595979.10530055,10832232.126816913,4481392.402763697,228040.22425935944,330052960.0
1900,314469747.0194232,10700964.488303661,4623475.634420479,280657.0229074483,330052960.0
2000,314431975.9207265,10516072.479487093,4830003.0622697575,297611.2361845591,330052960.0
2100,314384471.9878819,10411673.865410062,4990778.729391493,303868.5535338787,330052960.0
2200,314220359.7572894,10379324.817032818,5019171.946619306,333359.97410696186,330052960.0
2300,314164497.49501675,10250105.46138034,5353600.314229931,376135.05653099524,330052960.0
2400,314097521.646865,10045034.218965715,5366848.843508545,401771.9385697265,330052960.0
2500,314013836.5945688,10021121.095049081,5531552.929046614,451160.8099982995,330052960.0
2600,313925907.29160964,9890660.916346883,5634924.520725764,467938.3914040907,330052960.0
2700,313813386.61581403,9854462.266425764,5851604.360013341,515498.82487433654,330052960.0
2800,313739561.9604709,9656708.432389025,5964248.527278237,552644.2696909189,330052960.0
2900,313601185.38222444,9560862.897430275,6125398.808236893,560569.3028595593,330052960.0
3000,313584268.0041047,9619498.759218464,6365672.457025423,607404.457657263,330052960.0
3100,313502197.3571441,9487958.49945631,6533462.0760520175,626039.504503086,330052960.0
3200,313333288.1713339,9320979.44089193,6546865.96746902,685100.566557534,330052960.0
3300,313277229.8288678,9353374.500116961,6768805.320135809,702982.300010613,330052960.0
3400,313176924.9092065,9248640.255788103,6881144.731931993,751263.8388597257,330052960.0
3500,313030279.12341547,9149755.50060705,7037111.079378298,792043.4577681011,330052960.0
3600,312946273.7787516,9027597.21986247,7287681.6824825965,818384.2723989877,330052960.0
3700,312823270.63544416,9050340.633705856,7430003.059734091,838448.6290422803,330052960.0
3800,312622224.89130133,9048503.707040027,7574535.827071655,895920.1585789603,330052960.0
3900,312550584.7776552,8945999.277876828,7547890.665562661,918126.2463420207,330052960.0
4000,312381886.0386217,8959002.157878635,7828278.255989539,977620.9471068805,330052960.0
4100,312259708.7619511,8802867.064334389,7969296.276416312,1005972.9853448462,330052960.0
4200,312143902.4274865,8735548.422122696,8034143.641741571,1080533.0278920163,330052960.0
4300,312136375.8591694,8821789.320658345,8110206.9841924785,1095397.8997180637,330052960.0
4400,311989119.3279298,8705574.363486111,8352612.007372892,1169557.9147493516,330052960.0
4500,311826538.5430586,8750378.088436155,8265376.038265568,1190566.5809314696,330052960.0
4600,311683824.24687636,8578614.448174233,8526144.6339541,1260267.2675290762,330052960.0
4700,311516811.8552431,8652821.881488845,8698262.605227573,1281690.7797635482,330052960.0
4800,311412616.9661952,8519149.339274028,8697781.991897546,1311437.4006848407,330052960.0
4900,311339749.0877771,8555970.199883282,8883215.831866415,1372824.1756490858,330052960.0
5000,311155607.16669464,8463567.909132093,8909524.173780782,1411785.387449886,330052960.0
