milliseconds,Susceptible,Infected,Removed
0,32680000.0,728.0,62.0000000000001
100,32679987.837643433,736.5009592572521,65.66139730372177
200,32679975.592674013,745.0420652754432,69.36526070583164
300,32679963.26520722,753.6228504390627,73.11194233270895
400,32679950.855715122,762.2426168626456,76.901668008285
500,32679938.364509754,770.9009143176689,80.7345759172064
600,32679925.792004198,779.5971476877454,84.61084810546153
700,32679913.138686925,788.3306282662649,88.53068479985843
800,32679900.404970877,797.1007716961415,92.4942574192748
900,32679887.591374516,805.906862329197,96.50176314681408
1000,32679874.698375218,814.7482425903729,100.55338218660063
1100,32679861.726476215,823.6242291796855,104.6492945979782
1200,32679848.67620759,832.5341350409851,108.789657360299
1300,32679835.548063666,841.4772837662042,112.97465256016255
1400,32679822.342556216,850.4529912701221,117.20445250742904
1500,32679809.060265392,859.4605398767576,121.47919472331517
1600,32679795.70168657,868.4992536880652,125.79905973649947
1700,32679782.267375816,877.5684238995722,130.1642002778383
1800,32679768.757935014,886.6673150581281,134.57474992085687
1900,32679755.173884332,895.7952392481076,139.03087641308747
2000,32679741.51584458,904.9514479704886,143.5327074407125
2100,32679727.78443409,914.1351942424351,148.08037165920408
2200,32679713.9802105,923.3457681000203,152.6740213900286
2300,32679700.10375858,932.5824430330459,157.313798376708
2400,32679686.155679397,941.8444828750366,161.9998377214605
2500,32679672.13670936,951.1310713473299,166.7322192879203
2600,32679658.047406252,960.441497874457,171.51109586813078
2700,32679643.88839972,969.775009342759,176.33659093238413
2800,32679629.660324734,979.1308494725974,181.20882578638094
2900,32679615.363875408,988.5082316344302,186.1278929511936
3000,32679600.999729495,997.9063769882474,191.09389351155943
3100,32679586.568540864,1007.3245182890383,196.1069408424083
3200,32679572.070991278,1016.761873725904,201.16713499064318
3300,32679557.50777173,1026.217657711983,206.27457055531113
3400,32679542.879587896,1035.6910853778968,211.42932672290934
3500,32679528.187144667,1045.18135984874,216.63149548201466
3600,32679513.4311588,1054.6876826498512,221.8811585473783
3700,32679498.61235552,1064.2092509050942,227.17839357303646
3800,32679483.73144901,1073.745276491667,232.52327449124348
3900,32679468.78917188,1083.2949571162765,237.91587100068156
4000,32679453.786273185,1092.8574782120593,243.35624860002542
4100,32679438.723503273,1102.432027870937,248.844468852162
4200,32679423.601610817,1112.017799388268,254.38058978982892
4300,32679408.421312273,1121.6140200949255,259.96466762887553
4400,32679393.183399472,1131.219849788805,265.59675073285496
4500,32679377.888645146,1140.834469936206,271.27688491355315
4600,32679362.5378293,1150.457058744854,277.00511194977656
4700,32679347.131739244,1160.0867911639018,282.7814695873524
4800,32679331.67116957,1169.7228388839276,288.6059915391283
4900,32679316.1568866,1179.364406078707,294.4787073170163
5000,32679300.589634232,1189.0107235034081,300.39964225972574
